id,condition_level,question,response,utt,exp,condition_name
R_1GvNFqVJn7xQsBu,good,informational goal,2,good,smile,state_manipulation
R_1GvNFqVJn7xQsBu,good,social goal,4,good,smile,state_manipulation
R_1GvNFqVJn7xQsBu,bad,informational goal,3,good,smile,state_manipulation
R_1GvNFqVJn7xQsBu,bad,social goal,4,good,smile,state_manipulation
R_1GvNFqVJn7xQsBu,no_info,informational goal,3,good,smile,state_manipulation
R_1GvNFqVJn7xQsBu,no_info,social goal,4,good,smile,state_manipulation
R_1GvNFqVJn7xQsBu,good,informational goal,1,bad,smile,state_manipulation
R_1GvNFqVJn7xQsBu,good,social goal,4,bad,smile,state_manipulation
R_1GvNFqVJn7xQsBu,bad,informational goal,2,bad,smile,state_manipulation
R_1GvNFqVJn7xQsBu,bad,social goal,1,bad,smile,state_manipulation
R_1GvNFqVJn7xQsBu,no_info,informational goal,4,bad,smile,state_manipulation
R_1GvNFqVJn7xQsBu,no_info,social goal,2,bad,smile,state_manipulation
R_1GvNFqVJn7xQsBu,good,informational goal,1,good,frown,state_manipulation
R_1GvNFqVJn7xQsBu,good,social goal,2,good,frown,state_manipulation
R_1GvNFqVJn7xQsBu,bad,informational goal,4,good,frown,state_manipulation
R_1GvNFqVJn7xQsBu,bad,social goal,2,good,frown,state_manipulation
R_1GvNFqVJn7xQsBu,no_info,informational goal,1,good,frown,state_manipulation
R_1GvNFqVJn7xQsBu,no_info,social goal,3,good,frown,state_manipulation
R_1GvNFqVJn7xQsBu,good,informational goal,4,bad,frown,state_manipulation
R_1GvNFqVJn7xQsBu,good,social goal,1,bad,frown,state_manipulation
R_1GvNFqVJn7xQsBu,bad,informational goal,4,bad,frown,state_manipulation
R_1GvNFqVJn7xQsBu,bad,social goal,1,bad,frown,state_manipulation
R_1GvNFqVJn7xQsBu,no_info,informational goal,4,bad,frown,state_manipulation
R_1GvNFqVJn7xQsBu,no_info,social goal,1,bad,frown,state_manipulation
R_9pigUxLPdyxWn1n,good,informational goal,2,good,smile,state_manipulation
R_9pigUxLPdyxWn1n,good,social goal,3,good,smile,state_manipulation
R_9pigUxLPdyxWn1n,bad,informational goal,2,good,smile,state_manipulation
R_9pigUxLPdyxWn1n,bad,social goal,4,good,smile,state_manipulation
R_9pigUxLPdyxWn1n,no_info,informational goal,3,good,smile,state_manipulation
R_9pigUxLPdyxWn1n,no_info,social goal,4,good,smile,state_manipulation
R_9pigUxLPdyxWn1n,good,informational goal,4,bad,smile,state_manipulation
R_9pigUxLPdyxWn1n,good,social goal,2,bad,smile,state_manipulation
R_9pigUxLPdyxWn1n,bad,informational goal,3,bad,smile,state_manipulation
R_9pigUxLPdyxWn1n,bad,social goal,1,bad,smile,state_manipulation
R_9pigUxLPdyxWn1n,no_info,informational goal,4,bad,smile,state_manipulation
R_9pigUxLPdyxWn1n,no_info,social goal,3,bad,smile,state_manipulation
R_9pigUxLPdyxWn1n,good,informational goal,1,good,frown,state_manipulation
R_9pigUxLPdyxWn1n,good,social goal,2,good,frown,state_manipulation
R_9pigUxLPdyxWn1n,bad,informational goal,1,good,frown,state_manipulation
R_9pigUxLPdyxWn1n,bad,social goal,3,good,frown,state_manipulation
R_9pigUxLPdyxWn1n,no_info,informational goal,1,good,frown,state_manipulation
R_9pigUxLPdyxWn1n,no_info,social goal,2,good,frown,state_manipulation
R_9pigUxLPdyxWn1n,good,informational goal,4,bad,frown,state_manipulation
R_9pigUxLPdyxWn1n,good,social goal,1,bad,frown,state_manipulation
R_9pigUxLPdyxWn1n,bad,informational goal,4,bad,frown,state_manipulation
R_9pigUxLPdyxWn1n,bad,social goal,1,bad,frown,state_manipulation
R_9pigUxLPdyxWn1n,no_info,informational goal,4,bad,frown,state_manipulation
R_9pigUxLPdyxWn1n,no_info,social goal,2,bad,frown,state_manipulation
R_27WLi535zK3bFAb,good,informational goal,4,good,smile,state_manipulation
R_27WLi535zK3bFAb,good,social goal,2,good,smile,state_manipulation
R_27WLi535zK3bFAb,bad,informational goal,1,good,smile,state_manipulation
R_27WLi535zK3bFAb,bad,social goal,4,good,smile,state_manipulation
R_27WLi535zK3bFAb,no_info,informational goal,3,good,smile,state_manipulation
R_27WLi535zK3bFAb,no_info,social goal,4,good,smile,state_manipulation
